# Niveau de chaque lieu tel que le curateur l'a vu à sa dernière revue.
#
# Le niveau d'un lieu n'est pas une propriété du lieu : c'est son rang dans sa
# collection. Ajouter un signal au score, ou seulement collecter dix lieux de
# plus, peut donc faire descendre un lieu qu'on avait validé — sans que rien ne
# le dise.
#
# Ce fichier est la photographie du dernier état VU. `build` compare et signale
# les écarts ; `apply-review` la met à jour, parce que c'est le moment où le
# curateur a regardé.
#
wikidata_id,tier,theme,name
Q186282,1,cathedrales,Basilique Sainte-Marie-Majeure de Rome
Q18715459,3,maisons,Musée Venanzo-Crocetti
Q18745695,3,monuments,Paradiso sul mare
Q187599,3,monuments,Palazzo mediceo di Seravezza
Q1877295,3,megalithes,Tombe Regolini-Galassi
Q18810184,3,musees,Pinacothèque nationale de Ferrare
Q1881229,2,musees,MAXXI - Musée national des arts du XXIe siècle
Q1883452,3,cathedrales,Église San Biagio
Q18844157,3,musees,Musée diocésain d'Amalfi
Q188487,1,lacs,Lac Trasimène
Q188490,3,villages,Capalbio
Q1891671,3,lacs,Valli di Comacchio
Q1891991,3,monuments,Arc d'Auguste
Q1892101,3,monuments,Arc d'Auguste
Q1892625,2,iles,Budelli
Q189387,1,iles,Ischia
